resource,consumer
Diplopoda,Corvus macrorhynchos
Blattodea,Corvus macrorhynchos
Trox sp.,Corvus macrorhynchos
Scarabidae indet,Corvus macrorhynchos
Coleoptera (other),Corvus macrorhynchos
Isopoda,Corvus macrorhynchos
Geopelia maugeus,Corvus macrorhynchos
Ducula aenea,Corvus macrorhynchos
Mus musculus,Corvus macrorhynchos
Rattus sp.,Corvus macrorhynchos
Komodomys rintjanus,Corvus macrorhynchos
Carrion,Haliastur indus
Gastrimargus lumbokensis,Haliastur indus
Stenocatanops exinsula,Haliastur indus
Valanga nigricornis,Haliastur indus
Austracris guttulosa,Haliastur indus
Isoptera,Haliastur indus
Brachyura,Haliastur indus
Teleostei,Haliastur indus
Anura,Haliastur indus
Gekko gekko,Haliastur indus
Hemidactylus frenatus,Haliastur indus
Hemidactylus platyurus,Haliastur indus
Lepidodactylus intermedius,Haliastur indus
Sphenomorphus melanopogon,Haliastur indus
Coelognathus subradiatus,Haliastur indus
Dendrelaphis pictus,Haliastur indus
Hipposideros diadema,Haliastur indus
Pteropus vampyrus,Haliastur indus
Mus musculus,Haliastur indus
Varanus komodoensis Y,Haliastur indus
Carrion,Icthyophaga leucogaster
Brachyura,Icthyophaga leucogaster
Teleostei,Icthyophaga leucogaster
Sphenomorphus melanopogon,Icthyophaga leucogaster
Coelognathus subradiatus,Icthyophaga leucogaster
Dendrelaphis pictus,Icthyophaga leucogaster
Geopelia maugeus,Icthyophaga leucogaster
Ducula aenea,Icthyophaga leucogaster
Corvus macrorhynchos,Icthyophaga leucogaster
Pteropus vampyrus,Icthyophaga leucogaster
Rattus sp.,Icthyophaga leucogaster
Komodomys rintjanus,Icthyophaga leucogaster
Varanus komodoensis Y,Icthyophaga leucogaster
Diplopoda,Crocidura sp.
Gastrimargus lumbokensis,Crocidura sp.
Stenocatanops exinsula,Crocidura sp.
Valanga nigricornis,Crocidura sp.
Austracris guttulosa,Crocidura sp.
Blattodea,Crocidura sp.
Heteroptera,Crocidura sp.
Trox sp.,Crocidura sp.
Scarabidae indet,Crocidura sp.
Coleoptera (other),Crocidura sp.
Hymenoptera,Crocidura sp.
Araneidae,Crocidura sp.
Isopoda,Crocidura sp.
Gastrimargus lumbokensis,Hipposideros diadema
Stenocatanops exinsula,Hipposideros diadema
Valanga nigricornis,Hipposideros diadema
Austracris guttulosa,Hipposideros diadema
Blattodea,Hipposideros diadema
Heteroptera,Hipposideros diadema
Trox sp.,Hipposideros diadema
Scarabidae indet,Hipposideros diadema
Coleoptera (other),Hipposideros diadema
Hymenoptera,Hipposideros diadema
Lepidoptera,Hipposideros diadema
Araneidae,Hipposideros diadema
Fruits and nectar,Pteropus vampyrus
Detritus,Mus musculus
Grains and seeds,Mus musculus
Fruits and nectar,Mus musculus
Grass and herbs,Mus musculus
Trees and shrubs,Mus musculus
Gastrimargus lumbokensis,Mus musculus
Stenocatanops exinsula,Mus musculus
Valanga nigricornis,Mus musculus
Austracris guttulosa,Mus musculus
Blattodea,Mus musculus
Isoptera,Mus musculus
Trox sp.,Mus musculus
Scarabidae indet,Mus musculus
Coleoptera (other),Mus musculus
Hymenoptera,Mus musculus
Detritus,Rattus sp.
Grains and seeds,Rattus sp.
Fruits and nectar,Rattus sp.
Grass and herbs,Rattus sp.
Trees and shrubs,Rattus sp.
Gastrimargus lumbokensis,Rattus sp.
Stenocatanops exinsula,Rattus sp.
Valanga nigricornis,Rattus sp.
Austracris guttulosa,Rattus sp.
Blattodea,Rattus sp.
Isoptera,Rattus sp.
Trox sp.,Rattus sp.
Scarabidae indet,Rattus sp.
Coleoptera (other),Rattus sp.
Hymenoptera,Rattus sp.
Detritus,Komodomys rintjanus
Grains and seeds,Komodomys rintjanus
Fruits and nectar,Komodomys rintjanus
Grass and herbs,Komodomys rintjanus
Trees and shrubs,Komodomys rintjanus
Gastrimargus lumbokensis,Komodomys rintjanus
Stenocatanops exinsula,Komodomys rintjanus
Valanga nigricornis,Komodomys rintjanus
Austracris guttulosa,Komodomys rintjanus
Blattodea,Komodomys rintjanus
Isoptera,Komodomys rintjanus
Trox sp.,Komodomys rintjanus
Scarabidae indet,Komodomys rintjanus
Coleoptera (other),Komodomys rintjanus
Hymenoptera,Komodomys rintjanus
Fruits and nectar,Macaca fascicularis
Grass and herbs,Macaca fascicularis
Trees and shrubs,Macaca fascicularis
Fungi,Macaca fascicularis
Diplopoda,Macaca fascicularis
Gastrimargus lumbokensis,Macaca fascicularis
Stenocatanops exinsula,Macaca fascicularis
Valanga nigricornis,Macaca fascicularis
Austracris guttulosa,Macaca fascicularis
Blattodea,Macaca fascicularis
Isoptera,Macaca fascicularis
Heteroptera,Macaca fascicularis
Trox sp.,Macaca fascicularis
Scarabidae indet,Macaca fascicularis
Coleoptera (other),Macaca fascicularis
Hymenoptera,Macaca fascicularis
Lepidoptera,Macaca fascicularis
Brachyura,Macaca fascicularis
Isopoda,Macaca fascicularis
Plant juices,Paradoxurus musangus
Grains and seeds,Paradoxurus musangus
Fruits and nectar,Paradoxurus musangus
Asperitas trochus,Paradoxurus musangus
Gastrimargus lumbokensis,Paradoxurus musangus
Stenocatanops exinsula,Paradoxurus musangus
Valanga nigricornis,Paradoxurus musangus
Austracris guttulosa,Paradoxurus musangus
Blattodea,Paradoxurus musangus
Trox sp.,Paradoxurus musangus
Scarabidae indet,Paradoxurus musangus
Coleoptera (other),Paradoxurus musangus
Isopoda,Paradoxurus musangus
Gekko gekko,Paradoxurus musangus
Hemidactylus frenatus,Paradoxurus musangus
Hemidactylus platyurus,Paradoxurus musangus
Lepidodactylus intermedius,Paradoxurus musangus
Sphenomorphus melanopogon,Paradoxurus musangus
Crocidura sp.,Paradoxurus musangus
Mus musculus,Paradoxurus musangus
Rattus sp.,Paradoxurus musangus
Komodomys rintjanus,Paradoxurus musangus
Varanus komodoensis Y,Paradoxurus musangus
Fruits and nectar,?Arctogalidia sp.
Gastrimargus lumbokensis,?Arctogalidia sp.
Stenocatanops exinsula,?Arctogalidia sp.
Valanga nigricornis,?Arctogalidia sp.
Austracris guttulosa,?Arctogalidia sp.
Blattodea,?Arctogalidia sp.
Trox sp.,?Arctogalidia sp.
Scarabidae indet,?Arctogalidia sp.
Coleoptera (other),?Arctogalidia sp.
Isopoda,?Arctogalidia sp.
Gekko gekko,?Arctogalidia sp.
Hemidactylus frenatus,?Arctogalidia sp.
Hemidactylus platyurus,?Arctogalidia sp.
Lepidodactylus intermedius,?Arctogalidia sp.
Sphenomorphus melanopogon,?Arctogalidia sp.
Crocidura sp.,?Arctogalidia sp.
Mus musculus,?Arctogalidia sp.
Rattus sp.,?Arctogalidia sp.
Komodomys rintjanus,?Arctogalidia sp.
Varanus komodoensis Y,?Arctogalidia sp.
Carrion,Sus scrofa
Fruits and nectar,Sus scrofa
Grass and herbs,Sus scrofa
Roots and tubers,Sus scrofa
Fungi,Sus scrofa
Gastrimargus lumbokensis,Sus scrofa
Stenocatanops exinsula,Sus scrofa
Valanga nigricornis,Sus scrofa
Austracris guttulosa,Sus scrofa
Trox sp.,Sus scrofa
Scarabidae indet,Sus scrofa
Coleoptera (other),Sus scrofa
Brachyura,Sus scrofa
Coelognathus subradiatus,Sus scrofa
Dendrelaphis pictus,Sus scrofa
Varanus komodoensis Y,Sus scrofa
Fruits and nectar,Cervus timorensis
Grass and herbs,Cervus timorensis
Trees and shrubs,Cervus timorensis
Grass and herbs,Bubalis bubalis
Trees and shrubs,Bubalis bubalis
Gastrimargus lumbokensis,Varanus komodoensis Y
Stenocatanops exinsula,Varanus komodoensis Y
Valanga nigricornis,Varanus komodoensis Y
Austracris guttulosa,Varanus komodoensis Y
Coleoptera (other),Varanus komodoensis Y
Gekko gekko,Varanus komodoensis Y
Hemidactylus frenatus,Varanus komodoensis Y
Hemidactylus platyurus,Varanus komodoensis Y
Lepidodactylus intermedius,Varanus komodoensis Y
Sphenomorphus melanopogon,Varanus komodoensis Y
Carrion,Varanus komodoensis J
Asperitas trochus,Varanus komodoensis J
Bivalvia,Varanus komodoensis J
Gastrimargus lumbokensis,Varanus komodoensis J
Stenocatanops exinsula,Varanus komodoensis J
Valanga nigricornis,Varanus komodoensis J
Austracris guttulosa,Varanus komodoensis J
Coleoptera (other),Varanus komodoensis J
Brachyura,Varanus komodoensis J
Teleostei,Varanus komodoensis J
Gekko gekko,Varanus komodoensis J
Hemidactylus frenatus,Varanus komodoensis J
Hemidactylus platyurus,Varanus komodoensis J
Lepidodactylus intermedius,Varanus komodoensis J
Sphenomorphus melanopogon,Varanus komodoensis J
Trimeresurus insularis,Varanus komodoensis J
Coelognathus subradiatus,Varanus komodoensis J
Dendrelaphis pictus,Varanus komodoensis J
Naja sputatrix,Varanus komodoensis J
Daboia siamensis,Varanus komodoensis J
Eretmochelys imbricata,Varanus komodoensis J
Megapodius reinwardt,Varanus komodoensis J
Gallus varius,Varanus komodoensis J
Geopelia maugeus,Varanus komodoensis J
Ducula aenea,Varanus komodoensis J
Haliastur indus,Varanus komodoensis J
Crocidura sp.,Varanus komodoensis J
Hipposideros diadema,Varanus komodoensis J
Pteropus vampyrus,Varanus komodoensis J
Mus musculus,Varanus komodoensis J
Rattus sp.,Varanus komodoensis J
Komodomys rintjanus,Varanus komodoensis J
Paradoxurus musangus,Varanus komodoensis J
?Arctogalidia sp.,Varanus komodoensis J
Carrion,Varanus komodoensis S
Bivalvia,Varanus komodoensis S
Brachyura,Varanus komodoensis S
Teleostei,Varanus komodoensis S
Trimeresurus insularis,Varanus komodoensis S
Coelognathus subradiatus,Varanus komodoensis S
Dendrelaphis pictus,Varanus komodoensis S
Naja sputatrix,Varanus komodoensis S
Daboia siamensis,Varanus komodoensis S
Eretmochelys imbricata,Varanus komodoensis S
Megapodius reinwardt,Varanus komodoensis S
Gallus varius,Varanus komodoensis S
Geopelia maugeus,Varanus komodoensis S
Ducula aenea,Varanus komodoensis S
Haliastur indus,Varanus komodoensis S
Mus musculus,Varanus komodoensis S
Rattus sp.,Varanus komodoensis S
Komodomys rintjanus,Varanus komodoensis S
Macaca fascicularis,Varanus komodoensis S
Paradoxurus musangus,Varanus komodoensis S
?Arctogalidia sp.,Varanus komodoensis S
Sus scrofa,Varanus komodoensis S
Cervus timorensis,Varanus komodoensis S
Bubalis bubalis,Varanus komodoensis S
Carrion,Varanus komodoensis A
Eretmochelys imbricata,Varanus komodoensis A
Megapodius reinwardt,Varanus komodoensis A
Gallus varius,Varanus komodoensis A
Macaca fascicularis,Varanus komodoensis A
Sus scrofa,Varanus komodoensis A
Cervus timorensis,Varanus komodoensis A
Bubalis bubalis,Varanus komodoensis A
