consumer,resource,PATL
Varanus komodoensis J Tsp C,Eretmochelys imbricata,3.326182
Varanus komodoensis J Tsp C,Megapodius reinwardt,3.102801
Varanus komodoensis J Tsp C,Gallus varius,3.289135
Varanus komodoensis J Tsp C,Doves,2
Varanus komodoensis J Tsp C,Haliastur indus,3.908009
Varanus komodoensis J Tsp C,Crocidura sp.,3.333363
Varanus komodoensis J Tsp C,Hipposideros diadema,3.352415
Varanus komodoensis J Tsp C,Pteropus vampyrus,2
Varanus komodoensis J Tsp C,Mus musculus,2.615333
Varanus komodoensis J Tsp C,Rats,2.615333
Varanus komodoensis J Tsp C,Paradoxurus musangus,3.443964
Varanus komodoensis J Tsp C,?Arctogalidia sp.,3.679955
Varanus komodoensis J Tsp C,Varanus komodoensis Y,3.865904
Varanus komodoensis S Tsp,Carrion,1
Varanus komodoensis S Tsp,Bivalvia,2.333333
Varanus komodoensis S Tsp,Brachyura,2.5
Varanus komodoensis S Tsp,Teleostei,2.964242
Varanus komodoensis S Tsp,Coelognathus subradiatus,4.042421
Varanus komodoensis S Tsp,Dendrelaphis pictus,4.255964
Varanus komodoensis S Tsp,Daboia siamensis,4.160061
Varanus komodoensis S Tsp,Eretmochelys imbricata,3.326182
Varanus komodoensis S Tsp,Megapodius reinwardt,3.102801
Varanus komodoensis S Tsp,Gallus varius,3.289135
Varanus komodoensis S Tsp,Doves,2
Varanus komodoensis S Tsp,Haliastur indus,3.908009
Varanus komodoensis S Tsp,Mus musculus,2.615333
Varanus komodoensis S Tsp,Rats,2.615333
Varanus komodoensis S Tsp,Macaca fascicularis,2.918095
Varanus komodoensis S Tsp,Paradoxurus musangus,3.443964
Varanus komodoensis S Tsp,?Arctogalidia sp.,3.679955
Varanus komodoensis S Tsp,Sus scrofa,3.286561
Varanus komodoensis S Tsp,Cervus timorensis,2
Varanus komodoensis S Tsp,Bubalis bubalis,2
Varanus komodoensis S Tsp C,Carrion,1
Varanus komodoensis S Tsp C,Bivalvia,2.333333
Varanus komodoensis S Tsp C,Brachyura,2.5
Varanus komodoensis S Tsp C,Teleostei,2.964242
Varanus komodoensis S Tsp C,Coelognathus subradiatus,4.042421
Varanus komodoensis S Tsp C,Dendrelaphis pictus,4.255964
Varanus komodoensis S Tsp C,Daboia siamensis,4.160061
Varanus komodoensis S Tsp C,Eretmochelys imbricata,3.326182
Varanus komodoensis S Tsp C,Megapodius reinwardt,3.102801
Varanus komodoensis S Tsp C,Gallus varius,3.289135
Varanus komodoensis S Tsp C,Doves,2
Varanus komodoensis S Tsp C,Haliastur indus,3.908009
Varanus komodoensis S Tsp C,Mus musculus,2.615333
Varanus komodoensis S Tsp C,Rats,2.615333
Varanus komodoensis S Tsp C,Macaca fascicularis,2.918095
Varanus komodoensis S Tsp C,Paradoxurus musangus,3.443964
Varanus komodoensis S Tsp C,?Arctogalidia sp.,3.679955
Varanus komodoensis S Tsp C,Sus scrofa,3.286561
Varanus komodoensis S Tsp C,Cervus timorensis,2
Varanus komodoensis S Tsp C,Bubalis bubalis,2
Varanus komodoensis S Tsp C,Varanus komodoensis Y,3.865904
Varanus komodoensis S Tsp C,Varanus komodoensis J,4.023767
Varanus komodoensis A Tsp,Carrion,1
Varanus komodoensis A Tsp,Eretmochelys imbricata,3.326182
Varanus komodoensis A Tsp,Megapodius reinwardt,3.102801
Varanus komodoensis A Tsp,Gallus varius,3.289135
Varanus komodoensis A Tsp,Macaca fascicularis,2.918095
Varanus komodoensis A Tsp,Sus scrofa,3.286561
Varanus komodoensis A Tsp,Cervus timorensis,2
Varanus komodoensis A Tsp,Bubalis bubalis,2
Varanus komodoensis A Tsp C,Carrion,1
Varanus komodoensis A Tsp C,Eretmochelys imbricata,3.326182
Varanus komodoensis A Tsp C,Megapodius reinwardt,3.102801
Varanus komodoensis A Tsp C,Gallus varius,3.289135
Varanus komodoensis A Tsp C,Macaca fascicularis,2.918095
Varanus komodoensis A Tsp C,Sus scrofa,3.286561
Varanus komodoensis A Tsp C,Cervus timorensis,2
Varanus komodoensis A Tsp C,Bubalis bubalis,2
Varanus komodoensis A Tsp C,Varanus komodoensis Y,3.865904
Varanus komodoensis A Tsp C,Varanus komodoensis J,4.023767
Varanus komodoensis A Tsp C,Varanus komodoensis S,4.060503
Panthera leo,Decaying material,1
Panthera leo,Gazella thomsoni,2
Panthera leo,Crocuta crocuta,3.086744
Panthera leo,Tragelaphus scriptus,2
Panthera leo,Redunca redunca,2
Panthera leo,Gazella granti,2
Panthera leo,Aepyceros melampus,2
Panthera leo,Phacochoerus africanus,2.521825
Panthera leo,Potamochoerus larvatus,2.695767
Panthera leo,Struthio camelus,2.2
Panthera leo,Damaliscus lunatus,2
Panthera leo,Alcelaphus buselaphus,2
Panthera leo,Connochaetes taurinus,2
Panthera leo,Kobus ellipsiprymnus,2
Panthera leo,Equus burchelli,2
Panthera leo,Syncerus caffer,2
Panthera leo,Taurotragus oryx,2
Panthera leo,Giraffa camelopardalis,2
Panthera leo,Panthera leo Y,3.083574
Panthera leo alt,Decaying material,1
Panthera leo alt,Bucorvus leadbeateri,3.890851
Panthera leo alt,Ardeotis kori,3.184712
Panthera leo alt,Madoqua kirkii,2
Panthera leo alt,Ourebia ourebi,2
Panthera leo alt,Gazella thomsoni,2
Panthera leo alt,Crocuta crocuta,3.086744
Panthera leo alt,Tragelaphus scriptus,2
Panthera leo alt,Redunca redunca,2
Panthera leo alt,Gazella granti,2
Panthera leo alt,Aepyceros melampus,2
Panthera leo alt,Phacochoerus africanus,2.521825
Panthera leo alt,Potamochoerus larvatus,2.695767
Panthera leo alt,Struthio camelus,2.2
Panthera leo alt,Damaliscus lunatus,2
Panthera leo alt,Alcelaphus buselaphus,2
Panthera leo alt,Connochaetes taurinus,2
Panthera leo alt,Kobus ellipsiprymnus,2
Panthera leo alt,Equus burchelli,2
Panthera leo alt,Syncerus caffer,2
Panthera leo alt,Taurotragus oryx,2
Panthera leo alt,Giraffa camelopardalis,2
Panthera leo alt,Panthera leo Y,3.083574
Panthera leo Y,Decaying material,1
Panthera leo Y,Gazella thomsoni,2
Panthera leo Y,Crocuta crocuta,3.086744
Panthera leo Y,Tragelaphus scriptus,2
Panthera leo Y,Redunca redunca,2
Panthera leo Y,Gazella granti,2
Panthera leo Y,Aepyceros melampus,2
Panthera leo Y,Phacochoerus africanus,2.521825
Panthera leo Y,Potamochoerus larvatus,2.695767
Panthera leo Y,Struthio camelus,2.2
Panthera leo Y,Damaliscus lunatus,2
Panthera leo Y,Alcelaphus buselaphus,2
Panthera leo Y,Connochaetes taurinus,2
Panthera leo Y,Kobus ellipsiprymnus,2
Panthera leo Y,Equus burchelli,2
Panthera leo Y,Syncerus caffer,2
Panthera leo Y,Taurotragus oryx,2
Panthera leo Y,Giraffa camelopardalis,2
Panthera leo J,Decaying material,1
Panthera leo J,Gazella thomsoni,2
Panthera leo J,Crocuta crocuta,3.086744
Panthera leo J,Tragelaphus scriptus,2
Panthera leo J,Redunca redunca,2
Panthera leo J,Gazella granti,2
Panthera leo J,Aepyceros melampus,2
Panthera leo J,Phacochoerus africanus,2.521825
Panthera leo J,Potamochoerus larvatus,2.695767
Panthera leo J,Struthio camelus,2.2
Panthera leo J,Damaliscus lunatus,2
Panthera leo J,Alcelaphus buselaphus,2
Panthera leo J,Connochaetes taurinus,2
Panthera leo J,Kobus ellipsiprymnus,2
Panthera leo J,Equus burchelli,2
Panthera leo J,Syncerus caffer,2
Panthera leo J,Taurotragus oryx,2
Panthera leo J,Giraffa camelopardalis,2
Panthera leo J alt,Decaying material,1
Panthera leo J alt,Rhabdomys pumilio,2
Panthera leo J alt,Steatomys pratensis,2.619048
Panthera leo J alt,Bucorvus leadbeateri,3.890851
Panthera leo J alt,Ardeotis kori,3.184712
Panthera leo J alt,Madoqua kirkii,2
Panthera leo J alt,Ourebia ourebi,2
Panthera leo J alt,Gazella thomsoni,2
Panthera leo J alt,Tragelaphus scriptus,2
Panthera leo J alt,Redunca redunca,2
Panthera leo J alt,Gazella granti,2
Panthera leo J alt,Aepyceros melampus,2
Panthera leo J alt,Phacochoerus africanus,2.521825
Panthera leo J alt,Potamochoerus larvatus,2.695767
Panthera leo Tsp,Decaying material,1
Panthera leo Tsp,Gazella thomsoni,2
Panthera leo Tsp,Crocuta crocuta,3.120679
Panthera leo Tsp,Tragelaphus scriptus,2
Panthera leo Tsp,Redunca redunca,2
Panthera leo Tsp,Phacochoerus africanus,2.521825
Panthera leo Tsp,Potamochoerus larvatus,2.695767
Panthera leo Tsp,Struthio camelus,2.2
Panthera leo Tsp,Damaliscus lunatus,2
Panthera leo Tsp,Connochaetes taurinus,2
Panthera leo Tsp,Equus burchelli,2
Panthera leo Tsp,Syncerus caffer,2
Panthera leo Tsp,Taurotragus oryx,2
Panthera leo Tsp,Giraffa camelopardalis,2
Panthera leo Tsp,Panthera leo Y,3.109877
Panthera leo Tsp alt,Decaying material,1
Panthera leo Tsp alt,Bucorvus leadbeateri,3.893981
Panthera leo Tsp alt,Ardeotis kori,3.184712
Panthera leo Tsp alt,Madoqua kirkii,2
Panthera leo Tsp alt,Ourebia ourebi,2
Panthera leo Tsp alt,Gazella thomsoni,2
Panthera leo Tsp alt,Crocuta crocuta,3.120679
Panthera leo Tsp alt,Tragelaphus scriptus,2
Panthera leo Tsp alt,Redunca redunca,2
Panthera leo Tsp alt,Phacochoerus africanus,2.521825
Panthera leo Tsp alt,Potamochoerus larvatus,2.695767
Panthera leo Tsp alt,Struthio camelus,2.2
Panthera leo Tsp alt,Damaliscus lunatus,2
Panthera leo Tsp alt,Connochaetes taurinus,2
Panthera leo Tsp alt,Equus burchelli,2
Panthera leo Tsp alt,Syncerus caffer,2
Panthera leo Tsp alt,Taurotragus oryx,2
Panthera leo Tsp alt,Giraffa camelopardalis,2
Panthera leo Tsp alt,Panthera leo Y,3.109877
Panthera leo J Tsp,Decaying material,1
Panthera leo J Tsp,Gazella thomsoni,2
Panthera leo J Tsp,Crocuta crocuta,3.120679
Panthera leo J Tsp,Tragelaphus scriptus,2
Panthera leo J Tsp,Redunca redunca,2
Panthera leo J Tsp,Phacochoerus africanus,2.521825
Panthera leo J Tsp,Potamochoerus larvatus,2.695767
Panthera leo J Tsp,Struthio camelus,2.2
Panthera leo J Tsp,Damaliscus lunatus,2
Panthera leo J Tsp,Connochaetes taurinus,2
Panthera leo J Tsp,Equus burchelli,2
Panthera leo J Tsp,Syncerus caffer,2
Panthera leo J Tsp,Taurotragus oryx,2
Panthera leo J Tsp,Giraffa camelopardalis,2
Panthera leo J Tsp alt,Decaying material,1
Panthera leo J Tsp alt,Rhabdomys pumilio,2
Panthera leo J Tsp alt,Steatomys pratensis,2.619048
Panthera leo J Tsp alt,Bucorvus leadbeateri,3.893981
Panthera leo J Tsp alt,Ardeotis kori,3.184712
Panthera leo J Tsp alt,Madoqua kirkii,2
Panthera leo J Tsp alt,Ourebia ourebi,2
Panthera leo J Tsp alt,Gazella thomsoni,2
Panthera leo J Tsp alt,Tragelaphus scriptus,2
Panthera leo J Tsp alt,Redunca redunca,2
Panthera leo J Tsp alt,Phacochoerus africanus,2.521825
Panthera leo J Tsp alt,Potamochoerus larvatus,2.695767
Panthera leo Y Tsp,Decaying material,1
Panthera leo Y Tsp,Gazella thomsoni,2
Panthera leo Y Tsp,Crocuta crocuta,3.120679
Panthera leo Y Tsp,Tragelaphus scriptus,2
Panthera leo Y Tsp,Redunca redunca,2
Panthera leo Y Tsp,Phacochoerus africanus,2.521825
Panthera leo Y Tsp,Potamochoerus larvatus,2.695767
Panthera leo Y Tsp,Struthio camelus,2.2
Panthera leo Y Tsp,Damaliscus lunatus,2
Panthera leo Y Tsp,Connochaetes taurinus,2
Panthera leo Y Tsp,Equus burchelli,2
Panthera leo Y Tsp,Syncerus caffer,2
Panthera leo Y Tsp,Taurotragus oryx,2
Panthera leo Y Tsp,Giraffa camelopardalis,2
Panthera leo Y Tsp,Panthera leo Y,3.109877
Tyrannosauridae,Carrion,1
Tyrannosauridae,Basilemys variolosa,2
Tyrannosauridae,Orodrominae,2
Tyrannosauridae,Pachycephalosauridae,2.567923
Tyrannosauridae,Unescoceratops koppelhusae,2
Tyrannosauridae,Ornithomimidae,2
Tyrannosauridae,Caenagnathus collinsi,3.542095
Tyrannosauridae,Chirostenotes pergracilis,3.553204
Tyrannosauridae,Citipes elegans,3.542095
Tyrannosauridae,cf Richardoestesia spp.,4.024568
Tyrannosauridae,cf Paronychodon,3.692584
Tyrannosauridae,Troodontidae,3.713164
Tyrannosauridae,Dromaeosauridae,3.978171
Tyrannosauridae,Euoplocephalus tutus,2
Tyrannosauridae,Nodosauridae,2
Tyrannosauridae,Lambeosaurinae,2.1
Tyrannosauridae,J Lambeosaurinae,2
Tyrannosauridae,Saurolophinae,2.1
Tyrannosauridae,J Saurolophinae,2
Tyrannosauridae,Centrosaurinae,2.125
Tyrannosauridae,J Centrosaurinae,2.2
Tyrannosauridae,Chasmosaurinae,2.125
Tyrannosauridae,J Chasmosaurinae,2.2
Tyrannosauridae,J Tyrannosauridae,3.929979
Tyrannosauridae,Y Tyrannosauridae,4.105407
Tyrannosauridae pack,Carrion,1
Tyrannosauridae pack,Basilemys variolosa,2
Tyrannosauridae pack,Euoplocephalus tutus,2
Tyrannosauridae pack,Nodosauridae,2
Tyrannosauridae pack,Lambeosaurinae,2.1
Tyrannosauridae pack,J Lambeosaurinae,2
Tyrannosauridae pack,Saurolophinae,2.1
Tyrannosauridae pack,J Saurolophinae,2
Tyrannosauridae pack,Centrosaurinae,2.125
Tyrannosauridae pack,J Centrosaurinae,2.2
Tyrannosauridae pack,Chasmosaurinae,2.125
Tyrannosauridae pack,J Chasmosaurinae,2.2
Tyrannosauridae-juv,Carrion,1
Tyrannosauridae-juv,Basilemys variolosa,2
Tyrannosauridae-juv,Orodrominae,2
Tyrannosauridae-juv,Pachycephalosauridae,2.567923
Tyrannosauridae-juv,Unescoceratops koppelhusae,2
Tyrannosauridae-juv,Ornithomimidae,2
Tyrannosauridae-juv,Caenagnathus collinsi,3.542095
Tyrannosauridae-juv,Chirostenotes pergracilis,3.553204
Tyrannosauridae-juv,Citipes elegans,3.542095
Tyrannosauridae-juv,cf Richardoestesia spp.,4.024568
Tyrannosauridae-juv,cf Paronychodon,3.692584
Tyrannosauridae-juv,Troodontidae,3.713164
Tyrannosauridae-juv,Dromaeosauridae,4.10827
Tyrannosauridae-juv,Euoplocephalus tutus,2
Tyrannosauridae-juv,Nodosauridae,2
Tyrannosauridae-juv,Lambeosaurinae,2.1
Tyrannosauridae-juv,Saurolophinae,2.1
Tyrannosauridae-juv,Centrosaurinae,2.125
Tyrannosauridae-juv,Chasmosaurinae,2.125
Tyrannosauridae-juv,J Tyrannosauridae,4.145605
Tyrannosauridae-juv,Y Tyrannosauridae,4.105407
Tyrannosauridae pack-juv,Carrion,1
Tyrannosauridae pack-juv,Basilemys variolosa,2
Tyrannosauridae pack-juv,Euoplocephalus tutus,2
Tyrannosauridae pack-juv,Nodosauridae,2
Tyrannosauridae pack-juv,Lambeosaurinae,2.1
Tyrannosauridae pack-juv,Saurolophinae,2.1
Tyrannosauridae pack-juv,Centrosaurinae,2.125
Tyrannosauridae pack-juv,Chasmosaurinae,2.125
J Tyrannosauridae,Carrion,1
J Tyrannosauridae,Varanoidea,3.670875
J Tyrannosauridae,Orodrominae,2
J Tyrannosauridae,Pachycephalosauridae,2.567923
J Tyrannosauridae,Unescoceratops koppelhusae,2
J Tyrannosauridae,Ornithomimidae,2
J Tyrannosauridae,Caenagnathus collinsi,3.542095
J Tyrannosauridae,Chirostenotes pergracilis,3.553204
J Tyrannosauridae,Citipes elegans,3.542095
J Tyrannosauridae,cf Richardoestesia spp.,4.024568
J Tyrannosauridae,cf Paronychodon,3.692584
J Tyrannosauridae,Troodontidae,3.713164
J Tyrannosauridae,Dromaeosauridae,3.978171
J Tyrannosauridae,Hesperonychus elizabethae,3.957902
J Tyrannosauridae,Ornithurae (large),2.708732
J Tyrannosauridae,J Lambeosaurinae,2
J Tyrannosauridae,J Saurolophinae,2
J Tyrannosauridae,J Centrosaurinae,2.125
J Tyrannosauridae,J Chasmosaurinae,2.125
J Tyrannosauridae,Y Tyrannosauridae,4.105407
J Tyrannosauridae pack,Carrion,1
J Tyrannosauridae pack,Varanoidea,3.670875
J Tyrannosauridae pack,Orodrominae,2
J Tyrannosauridae pack,Pachycephalosauridae,2.567923
J Tyrannosauridae pack,Unescoceratops koppelhusae,2
J Tyrannosauridae pack,Ornithomimidae,2
J Tyrannosauridae pack,Caenagnathus collinsi,3.542095
J Tyrannosauridae pack,Chirostenotes pergracilis,3.553204
J Tyrannosauridae pack,Citipes elegans,3.542095
J Tyrannosauridae pack,cf Richardoestesia spp.,4.024568
J Tyrannosauridae pack,cf Paronychodon,3.692584
J Tyrannosauridae pack,Troodontidae,3.713164
J Tyrannosauridae pack,Dromaeosauridae,3.978171
J Tyrannosauridae pack,Hesperonychus elizabethae,3.957902
J Tyrannosauridae pack,Ornithurae (large),2.708732
J Tyrannosauridae pack,J Lambeosaurinae,2
J Tyrannosauridae pack,J Saurolophinae,2
J Tyrannosauridae pack,J Centrosaurinae,2.125
J Tyrannosauridae pack,J Chasmosaurinae,2.125
J Tyrannosauridae pack,Euoplocephalus tutus,2
J Tyrannosauridae pack,Nodosauridae,2
J Tyrannosauridae pack,Lambeosaurinae,2.1
J Tyrannosauridae pack,Saurolophinae,2.1
J Tyrannosauridae pack,Centrosaurinae,2.125
J Tyrannosauridae pack,Chasmosaurinae,2.125
J Tyrannosauridae-juv,Carrion,1
J Tyrannosauridae-juv,Varanoidea,3.670875
J Tyrannosauridae-juv,Orodrominae,2
J Tyrannosauridae-juv,Pachycephalosauridae,2.567923
J Tyrannosauridae-juv,Unescoceratops koppelhusae,2
