Node,Version,Chain.length,Frequency
Palaeosaniwa,DPF MAZ-1a terr,5,3176250
Palaeosaniwa,DPF MAZ-1a terr,6,7338078
Palaeosaniwa,DPF MAZ-1a terr,7,11293920
Palaeosaniwa,DPF MAZ-1a terr,8,12176670
Palaeosaniwa,DPF MAZ-1a terr,9,9210564
Palaeosaniwa,DPF MAZ-1a terr,10,4772823
Palaeosaniwa,DPF MAZ-1a terr,11,1624425
Palaeosaniwa,DPF MAZ-1a terr,12,337392
Palaeosaniwa,DPF MAZ-1a terr,13,36927
Palaeosaniwa,DPF MAZ-1a terr,14,1452
Crocidura sp.,Kom Trophsp,1,0
Crocidura sp.,Kom Trophsp,2,160
Crocidura sp.,Kom Trophsp,3,335
Crocidura sp.,Kom Trophsp,4,445
Crocidura sp.,Kom Trophsp,5,290
Crocidura sp.,Kom Trophsp,6,120
Crocidura sp.,Kom Trophsp,7,10
Crocidura sp.,Ser Trophsp,1,0
Crocidura sp.,Ser Trophsp,2,220
Crocidura sp.,Ser Trophsp,3,440
Crocidura sp.,Ser Trophsp,4,462
Eutheria (other),DPF Trophsp,1,858
Eutheria (other),DPF Trophsp,2,29744
Eutheria (other),DPF Trophsp,3,80938
Eutheria (other),DPF Trophsp,4,98956
Eutheria (other),DPF Trophsp,5,72644
Eutheria (other),DPF Trophsp,6,19734
Eutheria (other),DPF Trophsp,7,1144
Helogale parvula,Ser Trophsp,1,1
Helogale parvula,Ser Trophsp,2,34
Helogale parvula,Ser Trophsp,3,157
Helogale parvula,Ser Trophsp,4,408
Helogale parvula,Ser Trophsp,5,752
Helogale parvula,Ser Trophsp,6,1022
Helogale parvula,Ser Trophsp,7,1026
Helogale parvula,Ser Trophsp,8,702
Helogale parvula,Ser Trophsp,9,275
Helogale parvula,Ser Trophsp,10,42
Paradoxurus musangus,Kom Trophsp,1,6
Paradoxurus musangus,Kom Trophsp,2,60
Paradoxurus musangus,Kom Trophsp,3,416
Paradoxurus musangus,Kom Trophsp,4,972
Paradoxurus musangus,Kom Trophsp,5,1272
Paradoxurus musangus,Kom Trophsp,6,984
Paradoxurus musangus,Kom Trophsp,7,476
Paradoxurus musangus,Kom Trophsp,8,116
Paradoxurus musangus,Kom Trophsp,9,8
Stagodontidae,DPF Trophsp,1,315
Stagodontidae,DPF Trophsp,2,9261
Stagodontidae,DPF Trophsp,3,82089
Stagodontidae,DPF Trophsp,4,284445
Stagodontidae,DPF Trophsp,5,513387
Stagodontidae,DPF Trophsp,6,591003
Stagodontidae,DPF Trophsp,7,433881
Stagodontidae,DPF Trophsp,8,179865
Stagodontidae,DPF Trophsp,9,34209
Stagodontidae,DPF Trophsp,10,1764
Eodelphis browni,DPF MAZ-1a terr,1,3400
Eodelphis browni,DPF MAZ-1a terr,2,124440
Eodelphis browni,DPF MAZ-1a terr,3,1366120
Eodelphis browni,DPF MAZ-1a terr,4,5012280
Eodelphis browni,DPF MAZ-1a terr,5,9111320
Eodelphis browni,DPF MAZ-1a terr,6,10449560
Eodelphis browni,DPF MAZ-1a terr,7,7611240
Eodelphis browni,DPF MAZ-1a terr,8,3104880
Eodelphis browni,DPF MAZ-1a terr,9,581400
Eodelphis browni,DPF MAZ-1a terr,10,29920
Didelphodon sp.,DPF MAZ-1a terr,1,924
Didelphodon sp.,DPF MAZ-1a terr,2,50204
Didelphodon sp.,DPF MAZ-1a terr,3,827904
Didelphodon sp.,DPF MAZ-1a terr,4,4803876
Didelphodon sp.,DPF MAZ-1a terr,5,13491632
Didelphodon sp.,DPF MAZ-1a terr,6,22334004
Didelphodon sp.,DPF MAZ-1a terr,7,24487232
Didelphodon sp.,DPF MAZ-1a terr,8,17762052
Didelphodon sp.,DPF MAZ-1a terr,9,8186948
Didelphodon sp.,DPF MAZ-1a terr,10,2223452
Didelphodon sp.,DPF MAZ-1a terr,11,303996
Didelphodon sp.,DPF MAZ-1a terr,12,13552
Odaxosaurus priscus,DPF Trophsp,1,0
Odaxosaurus priscus,DPF Trophsp,2,52624
Odaxosaurus priscus,DPF Trophsp,3,203632
Odaxosaurus priscus,DPF Trophsp,4,320320
Odaxosaurus priscus,DPF Trophsp,5,329472
Odaxosaurus priscus,DPF Trophsp,6,111540
Odaxosaurus priscus,DPF Trophsp,7,6864
Teiidae,DPF Trophsp,1,572
Teiidae,DPF Trophsp,2,28314
Teiidae,DPF Trophsp,3,184184
Teiidae,DPF Trophsp,4,464178
Teiidae,DPF Trophsp,5,622050
Teiidae,DPF Trophsp,6,475332
Teiidae,DPF Trophsp,7,135850
Teiidae,DPF Trophsp,8,8008
Anura,Kom Trophsp,1,54
Anura,Kom Trophsp,2,702
Anura,Kom Trophsp,3,2700
Anura,Kom Trophsp,4,3321
Anura,Kom Trophsp,5,2160
Anura,Kom Trophsp,6,702
Anura,Kom Trophsp,7,54
Rats,Kom Trophsp,1,100
Rats,Kom Trophsp,2,440
Rats,Kom Trophsp,3,660
Rats,Kom Trophsp,4,440
Rats,Kom Trophsp,5,40
