node,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Lambeosaurinae,36,8,0,0,0,0,0,0,0,0,0,0,0,0,0
J Lambeosaurinae,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saurolophinae,36,8,0,0,0,0,0,0,0,0,0,0,0,0,0
J Saurolophinae,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centrosaurinae,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0
J Centrosaurinae,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Chasmosaurinae,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0
J Chasmosaurinae,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrannosauridae,1,61,12,0,0,0,0,0,0,0,0,0,0,0,0
J Tyrannosauridae,1,105,732,11552,59566,163191,291692,369031,340767,232313,116562,41845,9903,1282,56
Y Tyrannosauridae,2,208,2742,20376,71284,148538,207216,201718,136290,61600,17130,2452,112,0,0
