resource,consumer
Sphenomorphus melanopogon,Varanus komodoensis J
Coelognathus subradiatus,Varanus komodoensis J
Dendrelaphis pictus,Varanus komodoensis J
Daboia siamensis,Varanus komodoensis J
Eretmochelys imbricata,Varanus komodoensis J
Megapodius reinwardt,Varanus komodoensis J
Gallus varius,Varanus komodoensis J
Doves,Varanus komodoensis J
Haliastur indus,Varanus komodoensis J
Crocidura sp.,Varanus komodoensis J
Hipposideros diadema,Varanus komodoensis J
Pteropus vampyrus,Varanus komodoensis J
Mus musculus,Varanus komodoensis J
Rats,Varanus komodoensis J
Paradoxurus musangus,Varanus komodoensis J
?Arctogalidia sp.,Varanus komodoensis J
Varanus komodoensis Y,Varanus komodoensis J
Carrion,Varanus komodoensis S
Bivalvia,Varanus komodoensis S
Brachyura,Varanus komodoensis S
Teleostei,Varanus komodoensis S
Coelognathus subradiatus,Varanus komodoensis S
Dendrelaphis pictus,Varanus komodoensis S
Daboia siamensis,Varanus komodoensis S
Eretmochelys imbricata,Varanus komodoensis S
Megapodius reinwardt,Varanus komodoensis S
Gallus varius,Varanus komodoensis S
Doves,Varanus komodoensis S
Haliastur indus,Varanus komodoensis S
Mus musculus,Varanus komodoensis S
Rats,Varanus komodoensis S
Macaca fascicularis,Varanus komodoensis S
Paradoxurus musangus,Varanus komodoensis S
?Arctogalidia sp.,Varanus komodoensis S
Sus scrofa,Varanus komodoensis S
Cervus timorensis,Varanus komodoensis S
Bubalis bubalis,Varanus komodoensis S
Varanus komodoensis Y,Varanus komodoensis S
Varanus komodoensis J,Varanus komodoensis S
Carrion,Varanus komodoensis A
Eretmochelys imbricata,Varanus komodoensis A
Megapodius reinwardt,Varanus komodoensis A
Gallus varius,Varanus komodoensis A
Macaca fascicularis,Varanus komodoensis A
Sus scrofa,Varanus komodoensis A
Cervus timorensis,Varanus komodoensis A
Bubalis bubalis,Varanus komodoensis A
Varanus komodoensis Y,Varanus komodoensis A
Varanus komodoensis J,Varanus komodoensis A
Varanus komodoensis S,Varanus komodoensis A
