Specimen_no,Field_no,Institution,Locality,Loc_known,Class,Subclass,Order,Suborder,Superfamily,Family,Subfamily,Genus,Species,Type_status,Original_ID,OTU,OTU2,Preservation,Taph_cat,Collected_by,Date_collected,Description,In_ex_situ,References
TMP1967.017.0074,,TMP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,,1967,Plastron and partial carapace,,Brinkman & Nicholls 1991
TMP1974.010.0001,,TMP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,,,,Boremys,Turtles,SK,AQUA,,1974,Partial skeleton,,
TMP1975.011.0046,P75.15.33,TMP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,,1975,Partial plastron and carapace,,Brinkman & Nicholls 1991
TMP1979.014.1053,,TMP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,,1979,Partial skull,,Brinkman & Nicholls 1991
TMP1979.024.0001,,TMP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,,1979,Partial skull,,Brinkman & Nicholls 1991
TMP2002.082.0001,,TMP,SW of Steveville,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,,2002,Carapace and plastron,,
TMP1985.069.0002,,TMP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,,1985,Plastron and partial carapace,,Brinkman & Nicholls 1991
TMP1984.121.0031,,TMP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,,1984,Complete plastron,,Brinkman & Nicholls 1991
TMP1990.119.0006,,TMP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,,1990,Carapace and plastron,,Brinkman & Nicholls 1991
UALVP10-21,,UALVP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,G. F. Sternberg,1920,Complete plastron and partial carapace,,Brinkman & Nicholls 1991
UALVP13-21,,UALVP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,G. F. Sternberg,1920,Incomplete carapace and plastron,,Brinkman & Nicholls 1991
UALVP15-21,,UALVP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,G. F. Sternberg,1920,Complete plastron and partial carapace,,Brinkman & Nicholls 1991
UALVP16-21,,UALVP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,G. F. Sternberg,1920,Incomplete carapace,,Brinkman & Nicholls 1991
UALVP210,,UALVP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,,,Carapace,,Brinkman & Nicholls 1991
TMP1984.163.0070,,TMP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,,,Carapace – incomplete,,
TMP1980.016.1580,,TMP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,,,Carapace – incomplete,in situ,
TMP1993.036.0219,,TMP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,,,Carapace and plastron,,
TMP1994.012.0300,,TMP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,,,Carapace and plastron,,
TMP1992.036.0494,,TMP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,,,Plastron,in situ,
UALVP9,,UALVP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,G. F. Sternberg,1920,Incomplete carapace,,Brinkman & Nicholls 1991
TMP1980.016.1552,,TMP,30 yds SSE of Q087,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,,1980,Carapace and plastron,in situ,
TMP1997.060.0005,,TMP,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys pulchra,,,Boremys,Turtles,SK,AQUA,,1997,Carapace and plastron,,
USNM V 10676,,NMNH,Not found,N,Sauria,,Testudines,Cryptodira,Baenoidea,Baenidae,,Boremys,Boremys sp.,,,Boremys,Turtles,SK,AQUA,G. F. Sternberg,1921,Partial carapace and partial plastron,,
CMNFV 8893,,CMN,Q103,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,Saurolophinae,Brachylophosaurus,Brachylophosaurus canadensis,,,Brachylophosaurus,Hadrosaurids,SK,MEGA,C. M. Sternberg,1936,Skull & partial skeleton,in situ,Sternberg 1953; Horner 1992
UAD 303,,UALVP,Q303,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,Saurolophinae,Brachylophosaurus,Brachylophosaurus canadensis,,,Brachylophosaurus,Hadrosaurids,SK,MEGA,P.J. Currie et al.,2024-06-11,Partial skull and skeleton,in situ,
TMP2019.013.0025,BB25.2019.025,TMP,BB025,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,,2019,Centrum,ex situ,
TMP1981.023.0141,,TMP,BB047,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,,1981,Sacral vertebra,,Makovicky 1995
TMP1996.012.0142,,TMP,BB047,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,,1996,Fused dentaries,,Funston 2020
TMP1981.019.0252,,TMP,BB048,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,Caenagnathus collinsi,Caenagnathidae indet,Small theropods,IE,TERR,,1981,Parietal,in situ,Funston 2020
TMP2001.012.0216,,TMP,BB050,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,,2001,Quadrate,,Funston 2020
TMP1992.036.0173,,TMP,BB050,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,,1992,Vertebra,in situ,
TMP1989.036.0109,,TMP,BB050,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,Chirostenotes pergracilis,Caenagnathidae indet,Small theropods,IE,TERR,,1989,Proximal caudal,in situ,
TMP1993.036.0629,,TMP,BB061,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,,1993,Caudal vertebra,,
TMP1996.012.0004,,TMP,BB063,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,,1993,Dorsal vertebra,,
TMP1981.019.0285,,TMP,BB064,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,,1981,Sacrum,in situ,Funston 2020
TMP1982.021.0018 ,,TMP,BB071,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,,1982,Dorsal vertebra,ex situ,
TMP1982.019.0365,,TMP,BB086,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,,1982,Vertebra,,
TMP1998.093.0007,,TMP,BB308,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,Chirostenotes pergracilis,Caenagnathidae indet,Small theropods,IE,TERR,,1998,Vertebra,,
TMP1998.093.0013,,TMP,BB308,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,D. Tanke,1998,Right ilium,,
TMP1990.036.0078,,TMP,IE008,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,,1990,Sacrum,,
TMP2005.049.0192,,TMP,IE043,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,,2005,Partial metatarsal,in situ,
TMP2007.020.0092,,TMP,IE057,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,,2007,Vertebra,in situ,
UALVP55454,DPP.2007.058,UALVP,IE058,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,V. Arbour; M. James,2007-06-02,Sacrum,,
UALVP49335,,UALVP,IE059,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,J. Patterson,2007-06-04,Dorsal vertebra,,
TMP2019.012.0226,,TMP,Q157,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,,2019,Partial femur,in situ,
TMP1980.016.2095,,TMP,Not found,N,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,,1980,Ischium,,Funston 2020
TMP1986.036.0323,,TMP,IE106,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,cf Caenagnathus,,,,Caenagnathus,Small theropods,IE,TERR,,1986,Femur cf Caenagnathus,,Funston 2020
TMP1992.036.0674,,TMP,IE107,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,cf Citipes,,,,Citipes,Small theropods,IE,TERR,,1992,Pathological partial ilium cf Citipes,,Funston 2020
TMP1994.012.0880,DHT/DPP-188,TMP,IE108,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,cf Citipes,,,Elmisaurus,Citipes,Small theropods,IE,TERR,D. Tanke,1994,Left tibia cf Citipes,,Funston et al. 2016A
TMP1995.403.0010,,TMP,BB083 (coordinates missing),N,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,cf Chirostenotes,,,,Caenagnathidae indet,Small theropods,IE,TERR,,1995,Metatarsal in situ,,
TMP1998.093.0013,,TMP,Not found,N,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,IE,TERR,,1998,Ilium,,Rhodes et al. 2020; Funston 2020
TMP1980.016.1503,,TMP,Not found,N,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,SK,TERR,,1980,Sacrum,ex situ,Funston 2020
TMP1994.012.0603,,TMP,N side of Little Sandhill Creek,N,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,,,,,Caenagnathidae indet,Small theropods,SK,TERR,W. Sloboda,1994,Pubes,,
UALVP57883,MMC.2017.003,UALVP,BB010,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,Caenagnathus,Caenagnathus collinsi,,,Caenagnathus,Small theropods,IE,TERR,G. Funston,2017-05-25,Cf Caenagnathus partial left dentary,,
TMP1993.036.0475,,TMP,BB025,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,Caenagnathus,Caenagnathus collinsi,,,Caenagnathus,Small theropods,IE,TERR,,1993,Manual ungual II-3,,Funston 2020
TMP1982.019.0222,,TMP,BB064,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,Caenagnathus,Caenagnathus collinsi,,,Caenagnathus,Small theropods,IE,TERR,,1982,Manual ungual I-2,in situ,Funston et al. 2015
TMP1993.075.0049,,TMP,BB075,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,Caenagnathus,Caenagnathus collinsi,,Ornithomimidae,Caenagnathus,Small theropods,IE,TERR,D. Tanke,1993,Astragalus; calcaneum,ex situ,Cullen et al. 2021
UALVP59921,DPP.2019.280,UALVP,BB309,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,Caenagnathus,Caenagnathus collinsi,,,Caenagnathus,Small theropods,IE,TERR,G. Funston,2019-07-08,Cf. Caenagnathus manual phalanx I-1 in situ 35m above Oldman,in situ,Funston 2020
CMNFV 8776,,CMN,Q112,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,Caenagnathus,Caenagnathus collinsi,Holotype,,Caenagnathus,Small theropods,IE,TERR,C. M. Sternberg,1936,Complete lower jaw,,R. M. Sternberg 1940
UALVP59791,DPP.2018.051,UALVP,IE097,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,Caenagnathus,Caenagnathus collinsi,,,Caenagnathus,Small theropods,IE,TERR,M. Powers; G. Funston,2018-05-27,Partial ilium,,Funston 2020
TMP1979.008.0622,,TMP,Not found,N,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,Caenagnathus,,,Caenagnathus cf. sternbergi,Caenagnathus,Small theropods,IE,TERR,H. Johnson,1979,Anterior end of fused dentaries; surface collected,,Currie et al. 1993
TMP1992.036.0053,,TMP,Not found,N,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,Caenagnathus,,,,Caenagnathus,Small theropods,IE,TERR,S. Currie,1992,Anterior caudal vertebra,,Currie et al. 1993
TMP1993.036.0197,,TMP,near BB025; est. 33.296m above Oldman by Cullen et al. 2021; 23m est by Funston 2020,N,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,Caenagnathus,Caenagnathus collinsi,,,Caenagnathus,Small theropods,IE,TERR,W. Sloboda,1993,Metatarsal,,Funston 2020; Cullen et al. 2021
TMP1993.036.0198,,TMP,IE109,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,Caenagnathus,Caenagnathus collinsi,,,Caenagnathus,Small theropods,IE,TERR,W. Sloboda,1993,Metatarsal,,Funston 2020
UALVP56638,,UALVP,Locality data at UA,N,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Oviraptorosauria,Caenagnathidae,,Caenagnathus,Caenagnathus collinsi,,,Caenagnathus,Small theropods,SK,TERR,,,Pubes,,Funston 2020
TMP2005.009.0069,FE.2003.02,TMP,BB190,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,,,,,Centrosaurinae indet,Ceratopsids,IE,MEGA,,2005,Partial parietal cf Centrosaurus,in situ,
NHMUK R8648,,NHMUK,Q124,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,,,,,Centrosaurinae indet,Ceratopsids,SK,MEGA,C. H. Sternberg,1916,Plus pachycephalosaurid remains,in situ,Wall & Galton 1979
TMP2018.012.0023,,TMP,Q276,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,,cf. Styracosaurus albertensis,,,Styracosaurus,Ceratopsids,SK,MEGA,C. Brown et al.,2018,Partial skull (missing frill),in situ,C. Brown et al. 2020
TMP2003.012.0168,,TMP,Q289,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,,cf. Styracosaurus albertensis,,,Styracosaurus,Ceratopsids,SK,MEGA,,,"Partial face (no frill, nasal horn)",in situ,C. Brown et al. 2020
HCEL 2023-08-13A,HCEL 2023-08-13A,UALVP,Q300,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,,,,,Centrosaurinae indet,Ceratopsids,SK,MEGA,H. Larsson et al.,2023-08-14,Skull – incomplete,in situ,
UAD 149,UAD 149,TMP,U149,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,,,,,Centrosaurinae indet,Ceratopsids,SK,MEGA,,,Cf Styracosaurus sacral & caudal vertebrae; ribs; pubis; ilium; femur; tendons,,
UALVP57925;58041;59172,DPP.2017.076,UALVP,U268,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,,,,,Centrosaurinae indet,Ceratopsids,SK,MEGA,P.J. Currie; R. Wilkinson,2017-05-26;2017-05-28,cf Styracosaurus nasal (in situ) and skull material (surface collected),in situ,
CMNFV 11837,18-1921,CMN,Red Deer River,N,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,,,,Centrosaurus apertus,Centrosaurinae indet,Ceratopsids,SK,MEGA,C. M. Sternberg; P. A. Bungart,1921,Skeleton – incomplete,,
BB030 Centrosaurus,,TMP,BB030,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,BB,MEGA,,1981;1990;1995;2010-2019;2021,Bonebed 30 Centrosaurus,in situ,Eberth & Getty 2005; TMP1981.019; TMP1990.057; TMP1995.175; TMP1995.400; TMP2010.012; TMP2010.400; TMP2011.012.0426-7; TMP2012.044; TMP2013.044; TMP2014.035; TMP2015.059; TMP2016.045; TMP2017.027; TMP2018.034; TMP2019.023; TMP2021.021
BB041 Centrosaurus,,TMP;UALVP,BB041,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,BB,MEGA,,1964;1994;1997; 2019,Bonebed 41-41A Centrosaurus,in situ,Eberth & Getty 2005; TMP1964.005; TMP1994.012; TMP1997.145; UALVP55521; UALVP52658; UALVP61481
BB043 Centrosaurus,,TMP,BB043,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,BB,MEGA,P.J. Currie and crew,1979-1989,Bonebed 43 Centrosaurus,in situ,Ryan et al. 2001; TMP1979.011; TMP1980.018; TMP1981.018; TMP1982.018; TMP1983.018; TMP1984.018; TMP1985.018; TMP1986.018; TMP1987.018; TMP1988.018; TMP1989.018
BB091 Centrosaurus,,TMP,BB091,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,BB,MEGA,D. Eberth and crew (1995-96),1984;1988;1992-96,BB091 Centrosaurus,in situ,Eberth & Getty 2005; TMP1984.095; TMP1988.036; TMP1992.036; TMP1993.036; TMP1994.012; TMP1995.012; TMP1995.176; TMP1995.401; TMP1996.173; TMP1996.176; UALVP52920
BB091A Centrosaurus,,UALVP,BB091A,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,BB,MEGA,,,No specimens collected,in situ,Eberth & Getty 2005; UALVP49336
BB128 Centrosaurus,,TMP,BB128,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,BB,MEGA,M. Ryan,1992,BB128 Centrosaurus,in situ,Eberth & Getty 2005; TMP1992.036
BB162 Centrosaurus,,,BB162,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,BB,MEGA,,,No specimens collected,in situ,Eberth & Getty 2005
BB165 Centrosaurus,,TMP,BB165,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,BB,MEGA,,1998,2 postcranial elements collected,in situ,Eberth & Getty 2005; TMP1998.093.0075; TMP1998.093.0077
BB166 Centrosaurus,,,BB166,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,BB,MEGA,,,No specimens collected,in situ,Eberth & Getty 2005
BB168 Centrosaurus,,TMP,BB168,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,BB,MEGA,M. Ryan and crew,2008,BB168 Centrosaurus,in situ,Eberth & Getty 2005; TMP2008.079
BB178 Centrosaurus,,,BB178,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,BB,MEGA,,,No specimens collected,in situ,Eberth & Getty 2005
BB180 Centrosaurus,,TMP,BB180,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,BB,MEGA,C. Brown and crew,2014-2016,BB180 Centrosaurus,in situ,C. Brown et al. 2020; TMP2014.017; TMP2015.024; TMP2016.016
BB188 Centrosaurus,,,BB188,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,BB,MEGA,,,No specimens collected,in situ,Eberth & Getty 2005
BB206 Centrosaurus,,,BB206,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,BB,MEGA,,,No specimens collected,in situ,Eberth & Getty 2005
BB217 Centrosaurus,DPP.2013.185,UALVP,BB217,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,BB,MEGA,,2013,Squamosal,in situ,UALVP55219
TMP1981.022.0020,,TMP,BB046,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,IE,MEGA,,1981,Squamosal,,
TMP1993.040.0010,DHT.BB40.31/5/93.4,TMP,BB046,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,IE,MEGA,,1993,Parietal bar,in situ,
TMP1981.026.0003,,TMP,BB052,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,IE,MEGA,,1981,Nasal horncore,ex situ,C. Brown et al. 2020
TMP2005.009.0074,MJR.2000.51,TMP,BB055,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,IE,MEGA,M. Ryan,2000,Isolated parietal,ex situ,
TMP2012.012.0028,,TMP,BB061,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,IE,MEGA,,2012,Parietal,,
TMP1988.036.0269,,TMP,BB090,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,IE,MEGA,,1988,Postorbital,in situ,C. Brown et al. 2020
UALVP55522,DPP.2014.205,UALVP,BB152,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,IE,MEGA,B. Kruk,2014-06-01,Parietal bar,,
UALVP49549,,UALVP,IE051,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,IE,MEGA,P. Bell,,Postorbital,,Examined firsthand
TMP2007.012.0059,,TMP,IE053,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,IE,MEGA,,2007,Isolated postorbital,in situ,C. Brown et al. 2020
TMP2008.012.0060,DHT.2008.24,TMP,IE062,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,IE,MEGA,D. Tanke,2008,Isolated postorbital,in situ,
UALVP55453,DPP.2013.037,UALVP,IE070,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Ceratopsidae,Centrosaurinae,Centrosaurus,Centrosaurus apertus,,,Centrosaurus,Ceratopsids,IE,MEGA,M. Burns,2013-05-23,Right P2 parietal process,,Examined firsthand
