node,1,2,3,4,5,6,7,8,9,10,11,12
Panthera leo J,1,45,63,100,92,68,32,0,0,0,0,0
Panthera leo Y,3,133,110,128,132,32,0,0,0,0,0,0
Damaliscus lunatus,22,0,0,0,0,0,0,0,0,0,0,0
Alcelaphus buselaphus,22,0,0,0,0,0,0,0,0,0,0,0
Connochaetes taurinus,26,0,0,0,0,0,0,0,0,0,0,0
Kobus ellipsiprymnus,33,0,0,0,0,0,0,0,0,0,0,0
Equus burchelli,24,0,0,0,0,0,0,0,0,0,0,0
Syncerus caffer,10,0,0,0,0,0,0,0,0,0,0,0
Taurotragus oryx,24,0,0,0,0,0,0,0,0,0,0,0
Crocodylus niloticus,0,26,118,396,1099,2333,3793,4805,4587,3221,1333,210
Giraffa camelopardalis,5,0,0,0,0,0,0,0,0,0,0,0
Diceros bicornis,2,0,0,0,0,0,0,0,0,0,0,0
Hippopotamus amphibius,1,0,0,0,0,0,0,0,0,0,0,0
Loxodonta africana,2,0,0,0,0,0,0,0,0,0,0,0
