node,1,2,3,4,5,6,7,8,9,10,11,12
Panthera leo J,1,38,52,175,334,546,698,684,490,233,42,0
Panthera leo Y,2,89,86,92,100,32,0,0,0,0,0,0
Damaliscus lunatus,16,0,0,0,0,0,0,0,0,0,0,0
Alcelaphus buselaphus,16,0,0,0,0,0,0,0,0,0,0,0
Connochaetes taurinus,20,0,0,0,0,0,0,0,0,0,0,0
Kobus ellipsiprymnus,24,0,0,0,0,0,0,0,0,0,0,0
Equus burchelli,18,0,0,0,0,0,0,0,0,0,0,0
Syncerus caffer,6,0,0,0,0,0,0,0,0,0,0,0
Taurotragus oryx,16,0,0,0,0,0,0,0,0,0,0,0
Crocodylus niloticus,0,26,118,396,1099,2333,3793,4805,4587,3221,1333,210
Giraffa camelopardalis,3,0,0,0,0,0,0,0,0,0,0,0
Diceros bicornis,2,0,0,0,0,0,0,0,0,0,0,0
Hippopotamus amphibius,1,0,0,0,0,0,0,0,0,0,0,0
Loxodonta africana,2,0,0,0,0,0,0,0,0,0,0,0
